"Pos","Player","Salary","AB","BA","OBP","SLG","RC600","HRF","BBF","XBF","SBF","SB%","KF","3BF","2BF","GDPF","Steal","Jump","BA vs L","OBP vs L","SLG vs L","HRF vs L","BA vs R","OBP vs R","SLG vs R","HRF vs R","PB","C Throw", 
"C","Mitterwald, George R  ","$1,099,000","6745",".215",".270",".313","45.8","54.0","14.8","26.7","214.9",".630","4.82","228.4","33.1","40.2","Fr","Fr",".217",".280",".314","49.8",".217",".268",".319","53.5","3","Av",  
"C","Widger, Chris R  ","$1,095,000","16488",".233",".289",".359","60.1","47.1","13.8","18.1","858.9",".553","7.43","167.0","22.4","46.1","Pr","Pr",".245",".305",".388","38.8",".209",".256",".297","88.3","4","Fr",  
"C","Diaz, Bo R  ","$1,091,000","5222",".241",".289",".346","54.5","53.8","16.0","22.4","297.9",".594","8.51","257.3","26.8","29.2","Fr","Fr",".241",".286",".348","53.7",".241",".293",".343","54.0","4","Av",  
"C","Batts, Matt R  ","$1,085,000","4287",".237",".283",".352","55.6","69.1","16.6","16.2","768.2",".667","8.02","107.2","20.9","35.5","Pr","Pr",".244",".290",".359","73.9",".230",".276",".345","63.8","4","Fr",  
"C","Molina, Jose R  ","$1,084,000","3551",".221",".276",".287","43.1","131.5","14.6","25.9","300.8",".520","6.54","244.4","32.3","40.3","Av","Fr",".221",".280",".292","132.5",".218",".269",".269","153.4","4","Vg",  
"C","Henry, John R  ","$1,081,000","2951",".209",".278",".292","47.2","62.8","11.8","29.2","91.6",".562","7.07","1098.7","33.6","64.6","Av","Av",".214",".290",".302","55.4",".203",".267",".282","72.8","8","Vg",  
"C","Peacock, Johnny L  ","$1,081,000","6108",".236",".302",".297","53.0","190.9","11.8","24.9","280.9",".522","12.8","224.7","31.4","51.5","Fr","Fr",".233",".295",".301","143.3",".237",".303",".296","201.8","3","Av",  
"C","Fasano, Sal R  ","$1,076,000","18459",".208",".280",".336","53.7","34.0","15.5","27.6","1711.7",".600","4.46","366.8","33.5","44.0","Pr","Pr",".208",".285",".331","35.0",".209",".276",".344","32.3","3","Av",  
"C","Duncan, Dave R  ","$1,072,000","10510",".209",".273",".335","51.2","34.6","12.7","29.9","1286.4",".391","4.61","180.9","40.3","42.4","Pr","Pr",".203",".269",".325","35.0",".213",".275",".342","34.3","4","Av",  
"C","Davis, Ben S  ","$1,052,000","3893",".233",".292",".308","50.6","121.7","13.0","21.5","237.8",".581","4.90","285.4","25.8","40.4","Fr","Fr",".225",".284",".294","198.4",".235",".297",".308","116.9","4","Av",  
"C","House, Frank L  ","$1,046,000","8267",".235",".278",".331","50.5","55.1","19.0","28.2","1767.8",".556","11.8","184.1","36.1","35.8","Pr","Pr",".221",".258",".319","53.2",".236",".280",".330","55.3","3","Av",  
"C","Hemsley, Rollie R  ","$1,045,000","6134",".219",".262",".293","40.4","149.6","19.1","22.5","332.5",".454","7.65","118.7","30.6","41.6","Fr","Fr",".222",".267",".306","170.9",".218",".260",".281","138.7","3","Vg",  
"1B, C","Ellis, John R  ","$1,041,000","62700",".257",".307",".379","65.6","49.6","15.3","19.0","2347.7",".392","7.21","119.0","25.0","33.4","Fr","Pr",".266",".315",".400","44.4",".248",".299",".360","55.3","6","Fr",  
"C","Pagnozzi, Tom R  ","$1,032,000","4259",".234",".282",".330","52.4","73.4","16.6","20.4","230.3",".588","8.74","177.2","25.2","43.0","Fr","Fr",".244",".292",".366","48.9",".223",".270",".291","167.3","3","Vg",  
"C","Robinson, Wilbert R  ","$1,032,000","7280",".231",".265",".307","44.4","88.8","23.2","24.8","63.1",".660","6.59","700.4","27.2","51.0","Av","Vg",".245",".277",".329","74.8",".220",".254",".288","105.9","4","Vg",  
"C","Laird, Gerald R  ","$1,030,000","9082",".236",".296",".319","56.2","113.5","13.6","20.4","390.1",".553","7.71","147.0","27.0","53.4","Fr","Fr",".245",".310",".344","89.0",".227",".282",".293","160.8","4","Vg",  
"C","Sugden, Joe S  ","$1,027,000","6633",".233",".294",".298","51.1","89.6","13.4","33.5","273.7",".575","7.44","615.8","39.7","49.3","Fr","Fr",".230",".289",".290","83.7",".233",".295",".301","90.0","5","Av",  
"C","Tresh, Mike R  ","$1,025,000","4660",".226",".309",".263","49.5","186.4","9.63","50.7","230.3",".590","7.61","1324.0","60.2","50.0","Fr","Fr",".228",".318",".264","188.6",".223",".297",".262","183.5","4","Av",  
"C","Torborg, Jeff R  ","$1,021,000","10549",".215",".264",".275","37.9","167.4","16.3","27.0","1891.0",".316","8.25","231.6","33.2","40.5","Pr","Pr",".227",".275",".296","152.7",".206",".258",".258","199.2","3","Vg",  
"C","Dyer, Duffy R  ","$1,010,000","3827",".211",".279",".292","43.6","85.0","12.6","25.7","2120.0","1.00","5.46","151.4","35.0","31.4","Av","Pr",".209",".287",".296","77.1",".212",".270",".288","95.0","2","Av",  
"C","Ginsberg, Joe L  ","$1,003,000","9008",".225",".303",".289","52.9","117.0","10.3","29.2","1016.1",".667","10.6","230.9","38.3","46.6","Fr","Pr",".210",".284",".232","1493.0",".228",".308",".302","97.6","7","Av",  
"C","Johnson, Brian R  ","$1,003,000","1736",".214",".248",".327","43.1","44.5","25.2","24.1","1865.0","1.00","6.96","266.4","28.7","39.7","Pr","Pr",".192",".227",".271","61.6",".227",".259",".358","38.6","4","Fr",  
"C","Bengough, Benny R  ","$997,000","6294",".215",".250",".281","36.6","99.9","22.0","30.6","202.9",".500","9.08","304.3","36.4","52.7","Pr","Fr",".226",".259",".305","89.0",".210",".246",".271","106.4","2","Av",  
"C, 1B","Bowerman, Frank R  ","$982,000","5004",".228",".270",".319","48.2","68.5","19.8","23.8","110.0",".613","7.70","199.7","29.5","51.8","Av","Av",".228",".269",".318","71.7",".228",".270",".320","66.5","4","Av",  
"C","Sewell, Luke R  ","$979,000","7888",".223",".281",".294","48.5","119.5","14.0","24.0","171.7",".797","9.51","230.4","30.1","53.1","Av","Fr",".233",".293",".308","122.9",".216",".271",".282","125.2","4","Vg",  
"C","Desautels, Gene R  ","$976,000","12151",".203",".269",".235","34.9","506.3","12.8","39.7","239.5",".600","7.92","853.1","47.1","52.1","Av","Fr",".207",".271",".245","348.6",".199",".268",".225","887.9","2","Av",  
"C","Fordyce, Brook R  ","$947,000","5009",".245",".294",".344","58.2","78.3","15.9","18.2","907.3",".667","9.40","217.8","21.8","44.3","Pr","Pr",".255",".306",".360","68.5",".230",".273",".318","101.2","3","Fr",  
"C","Diaz, Einar R  ","$944,000","6120",".233",".283",".282","45.2","2040.0","22.3","23.8","421.7",".727","17.0","198.4","30.3","42.2","Fr","Pr",".230",".279",".278","3017.0",".236",".287",".286","1551.5","3","Av",  
"C","Matheny, Mike R  ","$941,000","11865",".228",".271",".293","44.0","127.6","20.1","27.4","1433.2",".474","6.70","201.5","35.0","48.3","Pr","Pr",".229",".270",".302","115.0",".226",".271",".286","139.1","2","Vg",  
"C","Berryhill, Damon S  ","$918,000","12884",".223",".269",".315","45.2","74.9","17.1","21.1","1383.4",".454","6.21","251.5","24.8","35.9","Pr","Pr",".218",".264",".311","80.0",".226",".272",".318","72.1","5","Av",  
"C","McNertney, Jerry R  ","$918,000","7173",".240",".293",".325","53.6","96.9","15.3","20.3","1571.0",".714","8.98","218.2","24.7","35.5","Pr","Pr",".242",".291",".330","94.7",".239",".294",".324","97.3","4","Av",  
"C","Livingston, Mickey R  ","$868,000","2555",".227",".292",".324","54.9","55.5","13.0","26.6","256.8",".500","7.55","188.3","34.9","47.1","Av","Fr",".242",".305",".344","50.9",".208",".275",".300","62.8","4","Av",  
"C","Blanco, Henry R  ","$859,000","5370",".207",".268",".301","44.1","76.7","12.9","21.2","657.1",".750","7.02","134.4","28.3","39.4","Pr","Pr",".210",".278",".314","66.7",".206",".263",".294","84.9","3","Vg",  
"C","Grim, John R  ","$850,000","3787",".221",".250",".307","40.4","82.3","39.4","22.1","132.8",".625","7.77","221.3","26.0","47.4","Av","Av",".235",".264",".336","71.2",".211",".240",".287","92.1","8","Av",  
"C","Martinez, Buck R  ","$843,000","7852",".212",".273",".312","49.8","66.0","13.1","20.6","1084.5",".889","7.60","177.1","26.1","61.1","Pr","Pr",".220",".281",".331","59.6",".207",".268",".299","72.2","3","Vg",  
"C","Kluttz, Clyde R  ","$842,000","4177",".247",".289",".315","53.1","130.5","18.5","23.7","451.3",".769","9.42","410.3","27.4","54.4","Av","Pr",".251",".302",".313","143.6",".244",".278",".318","113.1","3","Av",  
"C","White, Sammy R  ","$832,000","10428",".227",".259",".318","41.8","75.0","24.2","22.5","441.1",".556","8.61","155.3","28.1","29.8","Fr","Fr",".235",".266",".336","66.1",".219",".253",".302","86.1","3","Vg",  
"C","Osik, Keith R  ","$822,000","7808",".212",".280",".259","40.0","867.6","12.6","27.6","785.3",".579","8.38","163.0","37.6","41.5","Av","Pr",".209",".278",".256","742.0",".215",".281",".261","1024.5","4","Av",  
"C","Sullivan, Billy Sr R  ","$819,000","3657",".222",".255",".325","44.6","52.2","25.2","23.1","63.7",".592","7.80","431.7","26.1","48.6","Av","Vg",".217",".249",".330","47.0",".226",".260",".321","57.5","4","Vg",  
"RF, C, 1B, 3B, CF","Dexter, Charlie R  ","$815,000","21716",".228",".288",".315","53.5","64.6","13.7","26.5","19.5",".711","7.52","374.2","31.8","48.2","Vg","Ex",".232",".294",".329","57.6",".225",".282",".302","74.4","6","Av",  
"C","Criger, Lou R  ","$812,000","5797",".198",".269",".286","43.6","69.8","11.4","27.7","108.2",".645","7.83","122.5","41.6","49.6","Av","Av",".216",".287",".321","48.5",".185",".257",".261","101.6","3","Vg",  
"C","Hayworth, Ray R  ","$808,000","12505",".229",".290",".285","47.9","147.1","13.0","30.6","1065.8",".650","7.41","346.4","37.6","48.8","Fr","Pr",".238",".302",".300","113.7",".220",".279",".272","197.9","4","Av",  
"C","Walker, Rube L  ","$804,000","12891",".217",".281",".308","47.4","59.4","12.4","25.8","1574.3",".529","7.06","745.7","29.5","34.1","Pr","Pr",".215",".280",".291","80.2",".217",".280",".310","56.6","3","Av",  
"C","Kleinow, Red R  ","$793,000","2632",".223",".280",".318","51.5","65.8","13.8","23.7","78.0",".685","7.36","160.3","31.0","55.5","Av","Av",".236",".287",".347","54.4",".208",".271",".282","89.5","5","Av",  
"C","O'Neil, Mickey R  ","$785,000","13728",".212",".274",".280","42.9","83.2","13.5","38.2","798.4",".576","8.46","202.3","53.4","47.9","Fr","Fr",".217",".283",".293","74.3",".209",".268",".271","89.9","3","Vg",  
"C","Miller, Otto R  ","$784,000","5378",".226",".258",".315","44.4","65.6","25.9","26.2","76.3",".605","6.37","204.5","32.4","56.7","Av","Av",".229",".266",".321","63.7",".224",".252",".311","66.9","4","Av",  
"C","Donahue, Tim L  ","$782,000","13681",".200",".279",".281","45.6","77.7","10.9","25.1","118.3",".595","7.21","469.5","30.3","54.2","Av","Av",".192",".274",".248","107.8",".201",".280",".286","74.3","6","Av",  
"C","Bergen, Marty R  ","$778,000","4302",".231",".271",".317","47.7","81.2","18.9","24.0","383.2",".800","8.13","135.3","31.7","43.8","Fr","Pr",".232",".272",".322","80.7",".228",".270",".309","82.0","5","Vg",  
"C","Manwaring, Kirt R  ","$772,000","16798",".225",".289",".264","42.5","579.2","14.2","34.0","305.8",".549","8.21","242.3","44.7","38.1","Pr","Fr",".234",".301",".279","398.4",".213",".274",".244","1413.0","4","Vg",  
"C","Tate, Bennie L  ","$771,000","9951",".240",".296",".308","52.6","98.5","13.6","29.7","518.0",".600","11.7","329.6","36.0","43.3","Pr","Pr",".219",".270",".283","95.1",".244",".300",".311","101.1","4","Fr",  
"C","Perez, Eddie R  ","$767,000","4865",".243",".275",".333","48.5","95.4","25.2","19.3","2593.5",".667","9.55","162.1","23.6","29.6","Pr","Pr",".261",".294",".360","110.3",".225",".256",".306","82.5","3","Av",  
"C","Flaherty, John R  ","$755,000","4404",".226",".263",".304","42.4","112.9","22.3","21.8","315.6",".500","9.07","225.4","26.2","40.5","Fr","Fr",".223",".259",".290","203.3",".229",".266",".314","85.3","2","Av",  
"C","Rader, Dave L  ","$725,000","14593",".240",".296",".317","52.8","100.0","14.0","23.5","532.2",".612","14.2","253.4","28.7","33.8","Av","Pr",".247",".315",".316","98.3",".238",".291",".317","96.8","4","Fr",  
"C","Greene, Todd R  ","$721,000","6617",".232",".267",".372","54.5","33.6","22.1","22.6","779.2",".692","5.94","163.1","28.1","35.6","Pr","Pr",".245",".286",".386","35.1",".220",".250",".360","31.9","5","Fr",  
"C","Spencer, Tubby R  ","$716,000","8499",".236",".285",".340","56.0","52.1","17.7","23.5","399.5",".657","7.77","296.4","27.8","53.4","Pr","Pr",".237",".289",".342","47.0",".234",".280",".335","58.0","6","Av",  
"C","Ainsmith, Eddie R  ","$712,000","8212",".211",".274",".322","50.1","56.2","12.7","20.7","50.1",".622","6.22","116.2","28.4","53.0","Av","Vg",".220",".285",".340","52.4",".202",".261",".304","61.0","5","Av",  
"1B, C, LF, RF","Douglass, Klondike L  ","$708,000","48629",".236",".300",".326","57.6","55.6","12.8","31.0","95.8",".659","7.93","311.1","38.8","44.9","Av","Av",".217",".283",".277","88.4",".239",".302",".334","52.0","5","Fr",  
"C","Bako, Paul L  ","$707,000","15390",".220",".280",".273","43.5","349.8","12.9","26.0","1303.5",".591","5.05","184.2","33.8","54.3","Pr","Pr",".195",".246",".224",".000",".224",".287",".282","286.9","4","Vg",  
"C","Landrith, Hobie L  ","$693,000","10991",".224",".302",".285","52.9","146.5","9.97","26.9","536.6",".561","10.2","363.0","32.9","63.6","Pr","Fr",".222",".303",".284","104.4",".225",".302",".285","161.9","3","Av",  
"C","Owen, Mickey R  ","$683,000","4473",".230",".297",".301","51.1","165.7","12.1","21.8","497.7",".435","11.8","160.5","28.6","37.4","Fr","Fr",".225",".289",".296","201.8",".236",".305",".300","202.1","4","Av",  
"C, 1B","Newman, Jeff R  ","$676,000","16165",".211",".252",".331","45.0","43.7","19.6","22.5","413.9",".583","5.95","162.5","28.4","42.0","Fr","Fr",".207",".241",".317","52.3",".212",".260",".336","40.6","3","Vg",  
"C","Street, Gabby R  ","$674,000","2839",".198",".241",".277","33.5","71.0","20.2","29.6","278.7",".440","7.32","340.7","35.2","49.5","Fr","Fr",".194",".240",".276","65.9",".201",".242",".278","76.6","4","Av",  
"C, 3B","Quirk, Jamie L  ","$666,000","23658",".231",".285",".326","52.2","63.3","14.8","23.5","300.2",".483","6.14","195.6","29.5","41.8","Pr","Fr",".229",".288",".317","60.5",".231",".285",".328","62.5","4","Fr",  
"C, SS","Berg, Moe R  ","$655,000","9977",".203",".238",".255","30.4","136.7","25.0","35.5","218.8",".742","8.66","536.0","41.1","57.6","Av","Fr",".204",".237",".265","109.1",".201",".237",".247","166.4","5","Vg",  
"C","Schmidt, Boss S  ","$655,000","17189",".245",".281",".354","55.7","55.8","23.1","21.9","322.5",".559","8.50","113.5","29.5","41.5","Fr","Fr",".255",".286",".366","55.1",".240",".279",".347","57.7","5","Fr",  
"C","Bushong, Doc R  ","$649,000","13346",".198",".240",".244","27.5","139.0","19.4","41.4","460.3",".517","7.07","1297.2","45.9","47.6","Fr","Fr",".207",".246",".256","129.6",".191",".235",".236","146.7","5","Vg",  
"C","Hill, Marc R  ","$640,000","8286",".216",".283",".301","46.8","64.2","12.2","27.8","1844.0",".714","7.52","439.0","33.3","32.7","Pr","Pr",".220",".283",".300","69.0",".213",".283",".303","59.8","2","Av",  
"C","Perkins, Cy R  ","$634,000","4294",".215",".269",".293","44.1","82.6","14.5","25.4","391.4",".706","8.30","391.4","29.9","47.9","Pr","Fr",".210",".265",".286","71.4",".222",".274",".304","91.0","4","Av",  
"C","Cannizzaro, Chris R  ","$627,000","12156",".225",".299",".288","49.2","189.9","10.5","24.6","623.7",".550","6.88","154.2","33.9","34.4","Pr","Pr",".235",".311",".301","221.4",".213",".287",".276","166.2","3","Av",  
"C","Hernandez, Carlos R  ","$609,000","17561",".241",".281",".312","45.9","100.3","22.8","26.8","263.8",".568","8.89","312.2","31.5","28.8","Pr","Fr",".249",".290",".327","79.5",".233",".272",".295","143.8","5","Vg",  
"C","Foote, Barry R  ","$605,000","9348",".208",".257",".327","44.1","48.7","16.9","19.7","1446.4",".500","7.31","155.8","24.8","31.2","Pr","Pr",".218",".268",".361","38.6",".198",".247",".298","60.3","3","Av",  
"C","Spencer, Roy R  ","$605,000","12847",".196",".251",".243","31.1","115.7","16.0","49.6","484.8",".806","8.13","1405.8","56.5","50.2","Vg","Pr",".201",".260",".252","113.9",".192",".245",".236","119.8","3","Vg",  
"C","Tillman, Bob R  ","$602,000","8756",".212",".278",".327","50.4","40.7","12.1","29.7","3213.3","1.00","5.28","148.3","41.9","36.8","Pr","Pr",".217",".278",".334","39.3",".207",".277",".321","42.1","3","Fr",  
"C","Servais, Scott R  ","$599,000","9155",".233",".290",".320","51.5","90.6","15.2","19.8","719.6",".700","9.22","287.9","23.5","32.2","Fr","Pr",".241",".305",".333","79.7",".215",".259",".289","149.8","4","Fr",  
"C","Ganzel, Charlie R  ","$596,000","6740",".232",".273",".306","46.8","91.1","19.1","27.7","803.7",".450","9.23","180.8","35.6","51.3","Fr","Fr",".243",".290",".333","73.8",".224",".260",".286","119.2","5","Vg",  
"C","Quintero, Humberto R  ","$595,000","15667",".227",".259",".290","37.5","186.5","26.7","24.0","2366.4",".583","6.42","194.9","29.2","32.5","Pr","Pr",".237",".270",".311","135.6",".216",".250",".272","250.1","3","Vg",  
"C","Powers, Doc R  ","$594,000","10519",".201",".240",".283","34.4","69.7","22.2","26.9","263.2",".531","8.03","595.6","30.4","47.2","Pr","Fr",".209",".247",".299","66.2",".194",".234",".270","71.8","6","Av",  
"C","Skinner, Joel R  ","$591,000","17112",".228",".271",".295","42.5","145.0","18.8","24.3","1084.5",".436","4.47","214.4","29.8","41.1","Pr","Pr",".229",".270",".291","214.0",".226",".271",".295","117.7","3","Vg",  
"C, 1B, LF","Vaughn, Farmer R  ","$590,000","18035",".239",".269",".339","50.2","66.8","25.4","20.9","576.4",".550","8.49","148.6","25.8","43.4","Fr","Fr",".250",".281",".358","60.1",".229",".256",".320","74.7","5","Av",  
"C","Ryan, Mike R  ","$587,000","11479",".190",".244",".259","29.9","117.1","14.8","26.8","1132.6",".550","6.31","155.7","35.8","34.0","Pr","Pr",".191",".245",".262","118.4",".189",".245",".258","117.4","3","Vg",  
"C","Taylor, Zack R  ","$587,000","7965",".219",".267",".283","40.6","135.0","17.0","27.8","865.8",".556","7.76","196.8","35.8","42.2","Fr","Pr",".222",".273",".290","129.8",".219",".263",".279","143.7","5","Av",  
"C","Casanova, Paul R  ","$586,000","11687",".221",".245",".305","38.6","82.3","32.4","24.3","1019.2",".706","7.59","149.2","30.7","41.7","Pr","Pr",".226",".250",".316","80.7",".217",".242",".296","85.9","4","Vg",  
"C","Spohrer, Al R  ","$584,000","10464",".233",".281",".309","47.9","132.5","16.3","21.9","364.2",".437","8.23","132.8","28.7","41.1","Fr","Fr",".245",".295",".330","122.9",".217",".262",".281","146.9","3","Av",  
"C","Ortiz, Junior R  ","$576,000","16103",".241",".291",".280","44.7","644.1","16.9","32.6","244.0",".522","10.4","337.8","39.7","36.3","Pr","Fr",".241",".287",".280","526.8",".242",".294",".280","795.4","5","Av",  
"C","Moss, Les R  ","$568,000","17278",".231",".289",".342","55.0","39.4","13.1","30.8","2366.8",".615","6.15","498.3","36.2","32.5","Pr","Pr",".236",".294",".354","36.6",".225",".284",".325","44.3","5","Fr",  
"C","Buckley, Dick R  ","$566,000","13165",".222",".264",".325","47.7","47.4","19.7","25.5","785.9",".750","6.28","884.1","28.2","46.8","Pr","Pr",".231",".276",".349","40.5",".211",".252",".300","58.2","7","Av",  
"C, 1B","Clarke, Boileryard R  ","$564,000","6903",".216",".270",".295","44.4","72.7","18.1","28.8","145.2",".505","7.50","503.2","33.5","58.5","Fr","Av",".221",".276",".314","59.0",".215",".266",".279","91.2","4","Av",  
"C","Fabregas, Jorge L  ","$545,000","22067",".227",".264",".267","36.9","279.3","20.4","39.5","1251.9",".655","14.1","264.3","50.8","39.7","Pr","Pr",".231",".269",".280","196.8",".225",".263",".263","309.8","3","Av",  
"C","Bateman, John R  ","$539,000","21935",".219",".256",".328","42.9","54.3","23.7","21.4","629.5",".711","6.31","153.2","26.7","29.7","Av","Pr",".224",".261",".340","51.0",".214",".250",".317","57.4","4","Av",  
"C","Flint, Silver R  ","$536,000","15370",".222",".266",".321","46.6","63.3","18.9","22.2","3292.2",".500","4.64","175.1","27.5","46.8","Fr","Pr",".233",".279",".342","61.2",".215",".255",".305","64.3","5","Av",  
"C","Snyder, Pop R  ","$535,000","33509",".211",".253",".287","38.1","102.2","19.4","24.7","580.7",".559","6.33","183.7","31.0","47.4","Pr","Pr",".219",".262",".305","83.9",".204",".246",".271","125.6","8","Vg",  
"C","Lake, Steve R  ","$528,000","7902",".233",".258",".302","39.4","114.5","33.0","26.5","1657.8",".625","8.16","176.4","33.0","32.1","Pr","Pr",".226",".251",".288","187.8",".235",".261",".308","96.1","2","Vg",  
"C","Stinnett, Kelly R  ","$519,000","16822",".219",".283",".318","52.1","49.3","13.7","28.4","844.0",".564","4.65","337.6","34.5","53.7","Fr","Pr",".211",".278",".295","59.5",".225",".288",".339","42.7","3","Fr",  
"C","Uecker, Bob R  ","$514,000","14299",".198",".299",".282","49.8","62.4","7.99","29.7","1656.9",".400","5.51","517.8","36.9","40.0","Pr","Pr",".209",".315",".310","51.2",".181",".275",".239","94.2","9","Av",  
"SS, C","Bragan, Bobby R  ","$511,000","6157",".220",".260",".297","40.6","91.9","19.5","26.8","315.6",".750","9.48","161.6","35.1","36.2","Fr","Fr",".228",".268",".316","86.1",".217",".258",".287","93.5","3","Av",  
"C","Dooin, Red R  ","$511,000","10586",".232",".261",".321","46.2","64.9","26.0","24.2","53.2",".664","8.25","1020.5","26.3","51.3","Av","Vg",".237",".267",".330","56.3",".228",".256",".311","75.5","4","Av",  
"C","Swift, Bob R  ","$511,000","14700",".215",".287",".263","43.2","159.8","10.9","35.5","745.3",".786","8.29","683.2","42.0","41.8","Av","Pr",".216",".287",".269","141.4",".213",".288",".259","178.2","4","Av",  
"C","Kittridge, Malachi R  ","$505,000","20810",".194",".248",".269","34.9","67.1","14.9","34.6","413.7",".591","6.77","875.0","39.5","54.2","Fr","Fr",".201",".254",".283","57.6",".189",".243",".260","73.8","5","Av",  
"C, 1B, 3B","Boyle, Jack R  ","$504,000","9788",".206",".251",".268","34.3","110.0","19.0","31.9","78.8",".638","6.91","320.1","38.6","45.3","Av","Av",".208",".254",".277","85.2",".204",".249",".261","148.4","4","Av",  
"C","Agnew, Sam R  ","$500,000","12152",".198",".234",".270","29.9","89.4","28.8","28.3","306.8",".583","5.74","330.4","33.0","44.1","Av","Fr",".201",".241",".279","78.9",".197",".231",".265","100.6","6","Vg",  
"C","Allanson, Andy R  ","$500,000","11743",".226",".271",".277","41.5","239.7","18.4","29.8","95.2",".588","8.31","193.2","38.9","58.8","Fr","Av",".234",".274",".289","181.2",".220",".268",".268","356.1","4","Av",  
"C","Astroth, Joe R  ","$500,000","8665",".234",".294",".285","46.2","247.6","13.8","30.1","1189.6",".667","9.41","211.5","39.2","31.5","Pr","Pr",".225",".282",".269","285.4",".240",".301",".295","221.0","4","Av",  
"C","Bennett, Gary R  ","$500,000","9137",".219",".275",".264","39.4","276.9","14.8","31.1","907.0",".611","8.89","525.1","36.3","42.3","Pr","Pr",".222",".280",".272","197.5",".217",".272",".260","383.1","3","Fr",  
"C","Bergen, Bill R  ","$500,000","8569",".173",".183",".240","13.7","69.7","79.1","43.3","590.5",".385","6.83","805.2","47.4","52.4","Fr","Fr",".178",".191",".256","56.3",".168",".177",".229","83.6","3","Av",  
"C","Berres, Ray R  ","$500,000","22415",".203",".234",".253","24.6","125.2","27.0","39.7","1179.3",".645","7.26","907.2","43.8","29.9","Pr","Pr",".218",".254",".282","92.6",".187",".213",".224","187.9","3","Av",  
"C","Bertell, Dick R  ","$500,000","8359",".235",".290",".274","44.2","491.7","14.0","34.3","480.3",".704","7.76","380.2","41.5","38.0","Pr","Pr",".222",".277",".254","419.1",".245",".299",".287","555.9","8","Fr",  
"C, 1B","Boccabella, John R  ","$500,000","11266",".210",".254",".297","38.6","78.2","18.3","23.1","1206.1",".588","6.58","182.7","28.6","36.0","Pr","Pr",".215",".260",".306","77.4",".205",".249",".289","79.9","4","Av",  
"C, 1B","Brown, Lew R  ","$500,000","945",".193",".253",".289","37.5","118.1","14.2","18.9","342.0","1.00","4.98","60.4","31.1","36.6","Fr","Fr",".220",".277",".343","84.6",".170",".234",".245","174.0","5","Pr",  
"C","Chiti, Harry R  ","$500,000","14313",".228",".276",".322","46.5","66.6","16.8","24.5","3082.2",".333","5.94","131.7","33.0","28.5","Pr","Pr",".227",".271",".310","82.1",".226",".278",".326","59.4","7","Av",  
"C","Coleman, Choo Choo L  ","$500,000","4590",".193",".254",".246","33.4","139.1","14.7","35.3","201.0",".658","5.91","335.0","43.7","67.9","Fr","Fr",".179",".233",".216","253.8",".198",".262",".257","118.6","7","Fr",  
"C","Daily, Con L  ","$500,000","12247",".216",".286",".280","46.4","103.8","11.6","30.1","368.6",".514","6.75","717.9","35.2","54.6","Fr","Fr",".205",".268",".246","190.2",".218",".290",".288","92.6","5","Av",  
"C","Difelice, Mike R  ","$500,000","10808",".219",".267",".297","40.7","138.6","17.2","20.9","2920.8",".364","6.45","134.3","27.2","30.6","Fr","Pr",".221",".271",".301","138.3",".217",".262",".293","137.4","5","Av",  
"C","Fitz Gerald, Ed R  ","$500,000","13783",".235",".291",".292","45.9","176.7","14.1","26.5","358.8",".506","7.82","358.8","31.5","30.9","Fr","Fr",".242",".296",".305","135.7",".230",".289",".284","241.0","6","Av",  
"C","Gilligan, Barney R  ","$500,000","6646",".192",".274",".280","44.0","72.2","10.1","25.0","258.0",".604","6.06","170.0","33.7","52.3","Fr","Fr",".196",".279",".288","78.2",".188",".269",".273","67.2","4","Av",  
"C","Grasso, Mickey R  ","$500,000","20089",".202",".236",".255","26.3","104.6","27.8","44.9","1061.9",".645","7.08","849.5","50.3","34.0","Fr","Pr",".204",".233",".252","119.4",".201",".237",".256","96.0","4","Vg",  
"C","Guerra, Mike R  ","$500,000","4905",".219",".257",".278","36.0","163.5","20.7","28.4","582.7",".600","8.53","169.2","36.9","35.7","Fr","Fr",".221",".259",".281","161.4",".216",".255",".277","164.4","3","Av",  
"C","Holbert, Bill R  ","$500,000","3127",".185",".214",".226","18.1","130.3","28.8","60.1","1641.0",".400","6.85","820.5","68.4","46.2","Pr","Pr",".213",".243",".263","107.8",".167",".196",".204","143.5","5","Av",  
"C","Kendall, Fred R  ","$500,000","5180",".227",".272",".293","42.3","136.3","17.1","25.9","1398.8",".500","12.4","207.2","32.3","33.3","Fr","Pr",".234",".281",".298","168.3",".220",".265",".286","117.4","2","Fr",  
"C, 1B","Mack, Connie R  ","$500,000","8816",".213",".265",".267","38.2","122.4","21.3","34.7","62.8",".631","9.06","1908.6","38.3","52.1","Av","Vg",".229",".282",".292","104.8",".194",".244",".237","150.1","4","Av",  
"C, 1B","Martin, J.C. L  ","$500,000","7886",".220",".273",".299","46.7","119.5","16.3","21.7","1428.8",".429","9.68","140.5","28.3","59.5","Fr","Pr",".210",".263",".276","244.5",".223",".275",".305","102.5","9","Av",  
"C","Mathis, Jeff R  ","$500,000","5440",".192",".247",".259","33.7","113.3","15.0","28.8","990.0",".545","4.36","191.6","37.6","72.4","Fr","Pr",".204",".262",".278","109.1",".186",".237",".250","112.7","3","Av",  
