"Pos","Player","Salary","AB","BA","OBP","SLG","RC600","HRF","BBF","Run","PA","OPS vs L","OPS vs R","BatPlat","FLD:C","FLD:1B","FLD:2B","FLD:3B","FLD:SS","FLD:LF","FLD:CF","FLD:RF","OF Throw","Jump","Injury","OBP vs L","OBP vs R", 
"CF, LF, RF","Long, Terrence L  ","$1,454,000","15251",".259",".308",".353","61.2","87.6","14.8","Av","16514",".523",".671","2","","","","","","Av/135","Fr/135","Av/135","Av","Fr","Normal",".265",".310",  
"LF, 1B, 3B, CF, RF","Williams, Dick R  ","$1,450,000","5216",".240",".292",".340","54.7","73.5","14.4","Av","5708",".633",".632","-1","","Av/42","","Fr/104","","Av/50","Fr/50","Av/50","Fr","Fr","Normal",".291",".294",  
"LF","Wood, George L  ","$1,450,000","2523",".248",".309",".371","67.8","51.5","12.6","Av","2788",".658",".684","1","","","","","","Av/92","","","Av","Av","Normal",".332",".305",  
"LF, 3B, RF","Dolan, Cozy AJ R  ","$1,448,000","8679",".238",".306",".339","62.4","71.1","11.5","Av","9763",".671",".609","-1","","","","Av/175","","Av/144","","Av/144","Fr","Ex","Normal",".317",".291",  
"SS, 2B, 3B","Kasko, Eddie R  ","$1,447,000","7494",".244",".296",".299","50.1","325.8","15.3","Av","8122",".652",".535","-2","","","Av/116","Av/85","Av/78","","","","&nbsp;","Fr","Prone",".319",".272",  
"3B, SS","Sutton, Ezra R  ","$1,445,000","12035",".257",".305",".344","61.9","104.7","16.4","Av","13060",".679",".626","-1","","","","Fr/87","Fr/97","","","","&nbsp;","Fr","Iron",".312",".299",  
"3B, 2B, LF, RF","Harris, Lenny L  ","$1,442,000","14363",".262",".310",".320","57.6","221.0","15.7","Av","15700",".534",".647","2","","","Av/157","Av/124","","Av/143","","Av/143","Av","Vg","Normal",".274",".316",  
"3B, SS","Pinelli, Babe R  ","$1,440,000","16022",".241",".298",".320","56.4","87.6","14.3","Av","17976",".656",".582","0","","","","Vg/103","Fr/157","","","","&nbsp;","Vg","Normal",".315",".284",  
"2B, SS","Casilla, Alexi S  ","$1,438,000","18630",".248",".302",".309","57.1","365.3","14.1","Vg","20633",".571",".631","1","","","Av/136","","Av/115","","","","&nbsp;","Av","Prone",".288",".309",  
"CF","Birmingham, Joe R  ","$1,437,000","11324",".247",".284",".354","56.7","56.1","20.9","Av","12145",".664",".602","-1","","","","","","","Vg/91","","Vg","Vg","Normal",".294",".270",  
"RF, LF, CF","Zarilla, Al L  ","$1,437,000","7460",".249",".314",".359","68.6","67.8","12.5","Av","8316",".682",".669","-1","","","","","","Av/114","Fr/114","Av/114","Av","Fr","Normal",".317",".314",  
"C, 1B","O'Brien, Jack R  ","$1,436,000","2317",".236",".300",".336","59.2","100.7","12.5","Av","2566",".656",".607","-1","Av/104","Fr/82","","","","","","","&nbsp;","Av","Prone",".308",".289",  
"C","Rice, Del R  ","$1,434,000","7583",".212",".276",".313","48.9","62.2","13.4","Pr","8399",".595",".573","-1","Vg/77","","","","","","","","&nbsp;","Pr","Prone",".277",".271",  
"2B, 3B","Allen, Bernie L  ","$1,430,000","8464",".234",".297",".330","57.4","76.3","12.1","Av","9355",".607",".632","1","","","Av/95","Av/114","","","","","&nbsp;","Fr","Prone",".289",".299",  
"C","Reed, Jeff L  ","$1,428,000","8356",".229",".308",".307","56.9","109.9","9.87","Pr","9439",".509",".626","2","Av/108","","","","","","","","&nbsp;","Pr","Prone",".275",".311",  
"RF, LF","Browne, George L  ","$1,424,000","2705",".251",".303",".331","59.3","67.6","14.4","Vg","2955",".610",".642","1","","","","","","Av/151","","Av/151","Av","Vg","Normal",".288",".309",  
"C","Etchebarren, Andy R  ","$1,421,000","3188",".228",".294",".323","52.9","74.1","12.1","Pr","3540",".628",".604","-1","Av/93","","","","","","","","&nbsp;","Fr","Prone",".303",".283",  
"C","Hundley, Randy R  ","$1,421,000","7925",".216",".272",".307","46.2","69.5","14.2","Pr","8688",".557",".592","1","Vg/77","","","","","","","","&nbsp;","Fr","Prone",".264",".276",  
"2B","Wood, Jake R  ","$1,420,000","3174",".260",".325",".349","69.9","113.4","12.0","Ex","3515",".678",".669","-1","","","Fr/172","","","","","","&nbsp;","Vg","Prone",".322",".332",  
"RF, LF","Motley, Darryl R  ","$1,419,000","13054",".242",".285",".383","59.2","33.7","17.9","Av","14062",".703",".614","-2","","","","","","Vg/131","","Vg/131","Av","Fr","Normal",".299",".264",  
"1B, 3B","Young, Kevin R  ","$1,416,000","5740",".231",".299",".360","62.7","44.5","12.1","Av","6387",".671",".641","-1","","Vg/106","","Av/142","","","","","&nbsp;","Av","Prone",".306",".290",  
"1B, LF, RF","Leach, Rick L  ","$1,415,000","22380",".266",".332",".346","69.6","203.5","11.0","Fr","24897",".531",".691","4","","Fr/68","","","","Fr/87","","Fr/87","Fr","Pr","Normal",".268",".338",  
"2B, 3B, SS, LF, RF","Sisti, Sibby R  ","$1,411,000","13295",".243",".309",".340","61.9","62.4","11.8","Vg","14827",".693",".585","-2","","","Fr/94","Av/150","Fr/150","Fr/123","","Fr/123","Fr","Fr","Normal",".326",".285",  
"LF, 3B, CF, RF","Lowrey, Peanuts R  ","$1,410,000","7276",".252",".310",".331","59.7","132.3","13.2","Vg","8063",".658",".626","0","","","","Av/139","","Av/78","Fr/78","Av/78","Vg","Fr","Normal",".310",".311",  
"C","Gedman, Rich L  ","$1,409,000","18069",".235",".280",".359","56.8","46.4","17.5","Pr","19437",".530",".655","2","Av/130","","","","","","","","&nbsp;","Pr","Normal",".240",".285",  
"SS, 2B","Lee, Manny S  ","$1,409,000","10977",".247",".301",".292","49.9","499.0","13.9","Av","11985",".583",".599","-1","","","Vg/74","","Av/96","","","","&nbsp;","Fr","Fragile",".298",".302",  
"C","Blackwell, Tim S  ","$1,407,000","4382",".209",".304",".282","52.8","168.5","8.57","Fr","5081",".588",".585","1","Vg/117","","","","","","","","&nbsp;","Pr","Normal",".309",".303",  
"1B, LF","Howard, Del L  ","$1,402,000","4933",".266",".324",".375","71.5","54.2","14.5","Av","5423",".578",".710","1","","Av/138","","","","Fr/133","","","Av","Vg","Normal",".278",".328",  
"1B, LF, RF","Stubbs, Franklin L  ","$1,399,000","7967",".225",".291",".390","68.1","25.8","11.8","Av","8814",".563",".696","2","","Av/138","","","","Fr/148","","Fr/148","Av","Av","Prone",".259",".295",  
"C","Arencibia, J.P. R  ","$1,397,000","14097",".209",".259",".369","55.0","26.3","16.8","Pr","15214",".652",".594","-1","Av/114","","","","","","","","&nbsp;","Pr","Normal",".265",".251",  
"2B, SS, LF","Duncan, Mariano R  ","$1,396,000","11388",".248",".290",".350","58.2","81.3","19.5","Vg","12225",".675",".585","-2","","","Av/149","","Av/138","Fr/179","","","Fr","Vg","Prone",".305",".267",  
"RF, LF","Hermida, Jeremy L  ","$1,396,000","14512",".251",".322",".375","73.0","40.8","10.9","Fr","16289",".664",".702","1","","","","","","Av/158","","Av/158","Av","Fr","Fragile",".315",".323",  
"RF, LF","Moeller, Danny S  ","$1,392,000","1484",".222",".303",".296","53.5","70.7","9.58","Av","1696",".606",".597","0","","","","","","Fr/138","","Fr/138","Vg","Ex","Prone",".310",".300",  
"2B, SS","Yerkes, Steve R  ","$1,392,000","1969",".246",".301",".346","62.3","72.9","14.1","Av","2176",".658",".625","-1","","","Fr/89","","Fr/87","","","","&nbsp;","Av","Normal",".304",".295",  
"2B, 3B, SS, LF, CF, RF","Thomas, Derrel S  ","$1,386,000","4239",".222",".291",".294","50.4","169.6","11.5","Vg","4746",".587",".587","0","","","Fr/128","Fr/115","Fr/171","Av/58","Av/58","Av/58","Vg","Vg","Prone",".295",".291",  
"LF, CF, RF","Walker, Gee R  ","$1,384,000","4185",".254",".283",".366","58.3","51.0","32.3","Vg","4430",".619",".675","0","","","","","","Av/135","Av/135","Av/135","Fr","Vg","Prone",".279",".286",  
"2B, SP","Gleason, Kid S  ","$1,381,000","2370",".237",".282",".313","50.8","76.5","16.7","Vg","2583",".644",".570","0","","","Av/106","","","","","","&nbsp;","Vg","Normal",".310",".267",  
"2B, SS","Landestoy, Rafael S  ","$1,381,000","3374",".227",".288",".297","50.9","129.8","13.2","Ex","3741",".608",".574","-1","","","Fr/120","","Fr/69","","","","&nbsp;","Vg","Normal",".286",".290",  
"2B","Cora, Joey S  ","$1,380,000","10607",".255",".323",".309","63.2","757.6","11.7","Vg","11958",".610",".644","1","","","Av/149","","","","","","&nbsp;","Av","Normal",".308",".331",  
"CF, LF, RF","Bradford, Buddy R  ","$1,377,000","17034",".233",".313",".372","67.0","34.2","10.0","Vg","19303",".705",".636","-1","","","","","","Av/144","Av/144","Av/144","Av","Av","Prone",".319",".297",  
"RP, 1B","Macon, Max L  ","$1,377,000","459",".253",".288",".301","50.2","459.0","20.3","Fr","487",".422",".635","1","","Fr/254","","","","","","","&nbsp;","Fr","Normal",".208",".310",  
"2B","Javier, Julian R  ","$1,376,000","7470",".240",".284",".327","54.1","103.8","17.3","Vg","8094",".647",".581","-2","","","Vg/115","","","","","","&nbsp;","Av","Prone",".296",".273",  
"1B, LF, RF","Thomas, Lee L  ","$1,374,000","8834",".248",".312",".376","68.3","40.5","12.1","Av","9801",".595",".704","3","","Av/127","","","","Fr/115","","Fr/115","Av","Fr","Normal",".277",".318",  
"C","Bradley, Scott L  ","$1,373,000","11046",".257",".302",".326","56.1","175.3","17.0","Pr","11961",".545",".641","4","Fr/95","","","","","","","","&nbsp;","Pr","Normal",".266",".307",  
"1B, RF","Larkin, Gene S  ","$1,368,000","13270",".260",".335",".356","71.8","87.9","10.8","Av","14960",".720",".648","-1","","Fr/104","","","","","","Pr/76","Av","Fr","Prone",".343",".323",  
"3B, SS","Grant, Eddie L  ","$1,367,000","13131",".252",".301",".329","58.6","71.4","15.4","Av","14426",".540",".648","1","","","","Av/86","Fr/116","","","","&nbsp;","Vg","Normal",".270",".308",  
"2B, 1B, 3B","Kolloway, Don R  ","$1,366,000","7691",".255",".277",".330","49.7","134.9","36.6","Vg","8053",".609",".607","-1","","Vg/118","Vg/131","Av/163","","","","","&nbsp;","Av","Prone",".277",".277",  
"RF","Richbourg, Lance L  ","$1,366,000","3213",".268",".320",".330","63.1","169.1","14.0","Vg","3523",".614",".657","1","","","","","","","","Av/104","Av","Av","Normal",".304",".323",  
"LF, CF, RF","Ducey, Rob L  ","$1,360,000","5850",".222",".300",".343","63.0","65.7","10.1","Av","6578",".515",".662","3","","","","","","Av/147","Fr/147","Av/147","Av","Av","Prone",".272",".304",  
"SS, 2B, 3B","Phillips, Mike L  ","$1,356,000","20915",".230",".278",".294","44.9","160.9","16.9","Av","22540",".481",".625","3","","","Vg/109","Av/168","Vg/120","","","","&nbsp;","Fr","Normal",".240",".299",  
"1B","Burrus, Dick L  ","$1,355,000","11159",".264",".325",".355","69.3","68.5","12.5","Fr","12445",".654",".687","3","","Fr/120","","","","","","","&nbsp;","Fr","Prone",".321",".326",  
"3B, 2B","Brubaker, Bill R  ","$1,352,000","4530",".231",".305",".340","60.4","48.2","11.0","Av","5090",".645",".645","-1","","","Av/153","Av/120","","","","","&nbsp;","Fr","Normal",".304",".307",  
"RF, LF, CF","Maldonado, Candy R  ","$1,345,000","13834",".238",".302",".384","66.9","35.6","12.9","Fr","15263",".685",".690","0","","","","","","Fr/124","Pr/124","Fr/124","Vg","Fr","Normal",".301",".304",  
"C","Oliver, Joe R  ","$1,341,000","14481",".241",".284",".356","56.8","48.9","17.7","Pr","15552",".652",".626","-1","Vg/101","","","","","","","","&nbsp;","Pr","Prone",".292",".277",  
"SS, 2B, 3B","Huson, Jeff L  ","$1,340,000","3954",".219",".282",".253","41.0","439.3","12.5","Ex","4391",".556",".529","2","","","Av/50","Av/95","Av/151","","","","&nbsp;","Av","Normal",".289",".281",  
"LF, RF","O'Leary, Troy L  ","$1,340,000","19619",".247",".299",".362","61.9","57.9","14.4","Av","21361",".536",".678","2","","","","","","Av/89","","Av/89","Fr","Fr","Normal",".252",".305",  
"SS","Fisher, Bob R  ","$1,338,000","5038",".260",".299",".359","62.0","61.4","18.7","Fr","5436",".686",".629","-1","","","","","Fr/111","","","","&nbsp;","Av","Normal",".309",".289",  
"1B, LF","Gernert, Dick R  ","$1,337,000","10502",".229",".318",".375","71.0","27.5","8.83","Fr","11981",".700",".675","-1","","Fr/102","","","","Fr/180","","","Fr","Pr","Prone",".321",".310",  
"RF, LF, CF","Kapler, Gabe R  ","$1,337,000","14973",".260",".322",".372","70.8","70.6","11.8","Av","16592",".710",".658","-2","","","","","","Av/115","Fr/115","Av/115","Av","Av","Fragile",".328",".310",  
"SS, 2B, 3B","Olson, Ivy R  ","$1,331,000","10091",".228",".271",".316","48.4","68.6","18.5","Av","10938",".621",".568","-2","","","Vg/117","Vg/100","Av/106","","","","&nbsp;","Av","Normal",".286",".262",  
"SS, 2B, 3B","Martinez, Ted R  ","$1,321,000","1589",".234",".264",".308","41.9","176.6","29.6","Ex","1686",".494",".611","1","","","Fr/27","Fr/101","Fr/118","","","","&nbsp;","Av","Normal",".233",".280",  
"C","Melvin, Bob R  ","$1,321,000","9859",".226",".267",".328","47.0","61.6","18.8","Pr","10530",".637",".500","-3","Fr/58","","","","","","","","&nbsp;","Fr","Prone",".283",".232",  
"3B, 2B, SS","Nunez, Eduardo R  ","$1,319,000","1801",".248",".284",".336","55.3","100.1","21.3","Av","1914",".644",".608","1","","","Fr/142","Av/122","Fr/163","","","","&nbsp;","Vg","Fragile",".288",".282",  
"3B, 1B","Knight, Ray R  ","$1,315,000","25910",".260",".310",".360","62.5","82.3","15.6","Pr","28144",".681",".664","-1","","Fr/97","","Fr/84","","","","","&nbsp;","Fr","Normal",".314",".308",  
"C","Schmidt, Walter R  ","$1,315,000","4608",".212",".264",".271","38.9","100.2","16.2","Fr","5029",".508",".559","0","Vg/73","","","","","","","","&nbsp;","Av","Normal",".255",".271",  
"SS","Elster, Kevin R  ","$1,313,000","5904",".212",".276",".332","53.8","44.7","12.5","Fr","6533",".621",".600","-1","","","","","Av/81","","","","&nbsp;","Fr","Fragile",".281",".273",  
"C, 1B","Gonzalez, Mike R  ","$1,313,000","4927",".219",".285",".307","51.4","72.5","12.2","Fr","5501",".604",".582","0","Av/76","Fr/112","","","","","","","&nbsp;","Av","Normal",".291",".282",  
"CF","McTamany, Jim R  ","$1,313,000","3497",".211",".312",".308","59.3","77.7","8.12","Av","4082",".637",".609","-1","","","","","","","Av/88","","Av","Av","Normal",".322",".306",  
"3B, 2B","Morrison, Jim R  ","$1,312,000","14346",".245",".291",".377","62.9","38.5","17.4","Av","15564",".691",".649","-1","","","Av/123","Fr/100","","","","","&nbsp;","Av","Normal",".296",".287",  
"CF, LF","Glanville, Doug R  ","$1,311,000","6122",".256",".292",".312","55.5","244.9","20.6","Av","6558",".595",".613","0","","","","","","Av/48","Fr/48","","Av","Vg","Normal",".289",".296",  
"C","Girardi, Joe R  ","$1,306,000","11158",".234",".274",".275","40.0","1115.8","19.5","Fr","12013",".535",".557","0","Ex/91","","","","","","","","&nbsp;","Fr","Prone",".270",".276",  
"1B, 2B","Stapleton, Dave R  ","$1,306,000","4823",".254",".294",".363","60.7","75.4","19.2","Fr","5177",".653",".674","0","","Vg/94","Av/114","","","","","","&nbsp;","Pr","Normal",".293",".297",  
"1B","Cartwright, Ed R  ","$1,304,000","3118",".230",".300",".361","64.1","48.7","11.1","Vg","3471",".660",".653","-1","","Av/103","","","","","","","&nbsp;","Ex","Normal",".299",".297",  
"SS, 2B, 3B","Howard, David S  ","$1,303,000","3524",".230",".288",".285","49.5","352.4","13.8","Av","3897",".593",".558","0","","","Vg/80","Av/54","Av/79","","","","&nbsp;","Av","Prone",".300",".278",  
"SS, 2B, 3B","Downey, Tom R  ","$1,297,000","1954",".231",".287",".308","52.0","130.3","14.2","Av","2168",".555",".621","0","","","Vg/101","Av/117","Av/133","","","","&nbsp;","Vg","Normal",".278",".296",  
"C","Lamanno, Ray R  ","$1,296,000","5535",".235",".292",".306","49.5","104.4","14.7","Pr","6074",".534",".629","2","Av/101","","","","","","","","&nbsp;","Pr","Normal",".267",".305",  
"1B, LF, CF, RF","Carreon, Mark R  ","$1,295,000","7728",".260",".312",".386","69.7","44.2","15.4","Fr","8413",".703",".693","0","","Av/122","","","","Av/139","Fr/139","Av/139","Av","Fr","Fragile",".316",".309",  
"LF, 1B, CF, RF","Paciorek, Tom R  ","$1,295,000","9514",".266",".313",".374","67.1","76.7","16.8","Av","10297",".703",".669","-1","","Fr/78","","","","Av/108","Fr/108","Av/108","Fr","Fr","Prone",".318",".307",  
"RF, 2B, 3B, SS, LF, CF","Bailor, Bob R  ","$1,294,000","6279",".247",".298",".299","53.6","348.8","16.3","Vg","6884",".636",".562","-2","","","Av/140","Av/85","Av/76","Vg/95","Av/95","Vg/95","Av","Av","Fragile",".314",".282",  
"LF, 3B, RF","Barnhart, Clyde R  ","$1,293,000","24625",".249",".316",".373","69.9","54.7","11.3","Fr","27665",".708",".669","-1","","","","Fr/87","","Fr/81","","Fr/81","Av","Fr","Normal",".324",".307",  
"3B, 2B","Foster, Eddie R  ","$1,293,000","11128",".251",".312",".350","64.8","63.2","12.2","Av","12288",".688",".640","-1","","","Av/115","Av/116","","","","","&nbsp;","Vg","Normal",".322",".305",  
"C","Prince, Tom R  ","$1,292,000","9204",".178",".241",".253","28.3","96.9","16.0","Pr","10163",".471",".507","0","Av/69","","","","","","","","&nbsp;","Fr","Prone",".234",".244",  
"SS","Patek, Freddie R  ","$1,291,000","6954",".225",".290",".292","51.7","198.7","12.4","Ex","7821",".629",".550","-1","","","","","Av/107","","","","&nbsp;","Ex","Prone",".309",".276",  
"SS, 2B, 3B","Tolleson, Wayne S  ","$1,288,000","9939",".226",".293",".262","45.1","709.9","11.8","Vg","11054",".563",".550","-1","","","Av/128","Av/112","Av/81","","","","&nbsp;","Vg","Normal",".298",".290",  
"C","Myers, Greg L  ","$1,282,000","6344",".233",".292",".331","54.2","57.7","12.9","Pr","6983",".569",".636","1","Av/121","","","","","","","","&nbsp;","Pr","Fragile",".284",".295",  
"C","McLean, Larry R  ","$1,277,000","3743",".247",".286",".341","54.5","54.2","18.2","Fr","4002",".624",".633","-1","Fr/88","","","","","","","","&nbsp;","Fr","Prone",".291",".282",  
"2B","Schilling, Chuck R  ","$1,277,000","9323",".223",".283",".269","44.5","266.4","13.4","Av","10357",".569",".539","-1","","","Vg/70","","","","","","&nbsp;","Pr","Normal",".291",".277",  
"RF","Clinton, Lou R  ","$1,276,000","10439",".240",".294",".398","67.3","42.8","14.0","Av","11412",".718",".657","-1","","","","","","","","Av/105","Vg","Fr","Normal",".304",".281",  
"RF, 1B, LF, CF","Collins, Shano R  ","$1,276,000","10793",".252",".292",".366","61.6","78.2","19.9","Vg","11643",".676",".612","-1","","Av/109","","","","Av/89","Av/89","Av/89","Av","Vg","Normal",".299",".273",  
"RF, LF","Flack, Max L  ","$1,274,000","5755",".247",".313",".351","66.0","58.7","11.6","Av","6419",".619",".671","1","","","","","","Av/75","","Av/75","Av","Vg","Prone",".308",".315",  
"RF, 1B, 3B, LF","Moore, Randy L  ","$1,273,000","14110",".254",".310",".362","65.3","59.3","13.3","Av","15548",".646",".678","0","","Fr/165","","Fr/118","","Av/117","","Av/117","Av","Fr","Normal",".313",".309",  
"SS","Cross, Monte R  ","$1,271,000","4989",".204",".275",".310","48.5","55.4","11.6","Av","5540",".600",".578","-1","","","","","Av/98","","","","&nbsp;","Vg","Normal",".284",".271",  
"CF, LF, RF","Matthews, Gary Jr S  ","$1,271,000","9217",".244",".316",".347","67.0","73.2","10.4","Vg","10323",".664",".666","0","","","","","","Av/127","Av/127","Av/127","Av","Av","Prone",".319",".315",  
"LF, CF","Young, Eric Jr S  ","$1,269,000","3440",".235",".315",".286","61.5","573.3","10.4","Ex","3920",".617",".611","0","","","","","","Av/99","Av/99","","Av","Ex","Prone",".323",".318",  
"CF, LF, RF","Hockett, Oris L  ","$1,266,000","3030",".270",".310",".374","67.6","89.1","18.8","Av","3256",".651",".691","1","","","","","","Fr/107","Fr/107","Fr/107","Vg","Av","Normal",".301",".312",  
"LF, CF","Felix, Gus R  ","$1,265,000","8009",".248",".321",".338","65.3","83.4","10.4","Av","9050",".681",".619","-1","","","","","","Av/130","Av/130","","Fr","Fr","Normal",".327",".310",  
"C","Benedict, Bruce R  ","$1,264,000","5270",".212",".283",".247","39.5","527.0","11.4","Pr","5906",".542",".513","0","Vg/67","","","","","","","","&nbsp;","Fr","Normal",".289",".276",  
"2B, 3B","Nelson, Dave R  ","$1,262,000","4704",".237",".298",".324","57.9","87.1","12.7","Ex","5211",".630",".616","0","","","Av/104","Av/129","","","","","&nbsp;","Ex","Fragile",".298",".298",  
"C, 1B, LF, CF, RF","O'Connor, Jack R  ","$1,258,000","6025",".232",".270",".309","45.7","84.9","20.4","Av","6407",".582",".575","-1","Av/68","Fr/62","","","","Fr/109","Fr/109","Fr/109","Vg","Vg","Normal",".275",".265",  
"2B, SS","Egan, Dick R  ","$1,254,000","10332",".235",".295",".322","57.2","60.8","12.7","Av","11420",".664",".581","-1","","","Av/88","","Fr/123","","","","&nbsp;","Vg","Normal",".315",".280",  
"2B","Wilfong, Rob L  ","$1,254,000","7219",".230",".284",".295","50.4","156.9","14.8","Av","7997",".510",".603","3","","","Av/90","","","","","","&nbsp;","Av","Normal",".262",".293",  
"3B, LF, CF, RF","Bordagaray, Frenchy R  ","$1,253,000","4110",".250",".298",".332","59.4","124.5","17.1","Vg","4461",".623",".635","1","","","","Fr/153","","Av/70","Fr/70","Av/70","Av","Av","Normal",".292",".303",  
"CF, LF, RF","Uhlaender, Ted L  ","$1,253,000","26304",".250",".297",".308","54.6","276.9","16.3","Av","28404",".515",".632","2","","","","","","Av/47","Av/47","Av/47","Fr","Av","Normal",".263",".307",  
"3B, 2B","Maisel, Fritz R  ","$1,246,000","4006",".248",".317",".337","63.6","71.5","11.0","Vg","4492",".680",".619","-1","","","Fr/77","Fr/95","","","","","&nbsp;","Ex","Normal",".318",".316",  
"C","Nixon, Russ L  ","$1,246,000","8915",".257",".291",".332","52.6","217.4","22.3","Pr","9454",".508",".637","3","Av/108","","","","","","","","&nbsp;","Pr","Prone",".251",".296",  
"1B","Kotchman, Casey L  ","$1,245,000","3823",".254",".316",".355","67.0","63.7","12.9","Pr","4240",".606",".690","1","","Av/38","","","","","","","&nbsp;","Pr","Prone",".309",".317",  
"LF, CF, RF","Mokan, Johnny R  ","$1,243,000","767",".228",".313",".326","60.7","59.0","9.53","Av","877",".703",".403","-1","","","","","","Fr/98","Fr/98","Fr/98","Fr","Av","Prone",".336",".229",  
"LF, 1B, RF","Iorg, Dane L  ","$1,242,000","13751",".265",".317",".366","66.4","98.9","14.0","Fr","15040",".497",".707","5","","Fr/83","","","","Av/111","","Av/111","Fr","Pr","Normal",".239",".327",  
"SP, LF, RF","Maul, Al R  ","$1,241,000","270",".193",".284",".296","52.5","67.5","9.12","Fr","310",".485",".662","-1","","","","","","Av/91","","Av/91","Vg","Vg","Normal",".241",".320",  
"2B, 3B, SS","Gustine, Frankie R  ","$1,240,000","5561",".245",".298",".333","56.6","106.9","14.7","Vg","6080",".675",".586","0","","","Av/134","Vg/120","Fr/131","","","","&nbsp;","Fr","Prone",".314",".281",  
"SS","Miranda, Willy S  ","$1,239,000","20805",".214",".258",".263","36.6","231.2","18.1","Av","22419",".511",".527","0","","","","","Vg/97","","","","&nbsp;","Fr","Normal",".257",".258",  
"2B, 1B, 3B, SS","Zeider, Rollie R  ","$1,239,000","5204",".243",".321",".315","60.7","77.7","9.92","Av","5935",".643",".630","-1","","Fr/95","Fr/112","Fr/95","Fr/137","","","","&nbsp;","Vg","Normal",".325",".318",  
"C, 1B","Archer, Jimmy R  ","$1,238,000","2172",".227",".271",".310","46.2","90.5","18.4","Av","2355",".631",".537","-1","Av/96","Fr/153","","","","","","","&nbsp;","Av","Normal",".296",".250",  
"2B","Mack, Reddy R  ","$1,238,000","567",".217",".301",".332","61.0","70.9","10.2","Av","643",".616",".647","0","","","Av/110","","","","","","&nbsp;","Av","Normal",".289",".311",  
"3B, LF, RF","Shannon, Mike R  ","$1,231,000","6543",".243",".307",".362","65.2","49.2","11.9","Av","7242",".678",".656","-1","","","","Fr/122","","Fr/52","","Fr/52","Vg","Fr","Prone",".307",".307",  
"3B, 2B, SS","O'Rourke, Frank R  ","$1,228,000","4830",".206",".263",".278","40.5","105.0","15.4","Vg","5329",".522",".555","0","","","Vg/85","Vg/102","Av/126","","","","&nbsp;","Av","Normal",".262",".264",  
"SS, 1B, 2B, 3B","Gomez, Chris R  ","$1,226,000","5039",".245",".308",".310","56.4","168.0","12.2","Fr","5586",".633",".609","-1","","Av/86","Av/97","Av/90","Fr/97","","","","&nbsp;","Fr","Normal",".316",".302",  
"LF, 1B, CF, RF","Holt, Jim L  ","$1,223,000","7622",".255",".295",".336","55.3","95.3","19.7","Av","8146",".534",".647","2","","Fr/42","","","","Av/62","Fr/62","Av/62","Av","Pr","Normal",".263",".300",  
"RF, LF","Williams, Walt R  ","$1,223,000","2111",".259",".299",".330","57.9","150.8","20.1","Av","2255",".632",".626","0","","","","","","Av/95","","Av/95","Vg","Fr","Normal",".301",".298",  
"SS, 1B, 2B, 3B, LF","Almon, Bill R  ","$1,218,000","7340",".250",".302",".329","59.5","124.4","14.6","Av","8079",".661",".606","-1","","Av/152","Av/134","Fr/152","Av/123","Fr/89","","","Av","Vg","Normal",".313",".293",  
"C","Pocoroba, Biff S  ","$1,218,000","7953",".244",".317",".321","59.4","117.0","10.7","Pr","8917",".482",".670","2","Av/120","","","","","","","","&nbsp;","Pr","Fragile",".252",".329",  
"1B","Werden, Perry R  ","$1,215,000","6027",".250",".313",".386","71.0","73.5","12.6","Av","6680",".715",".648","-1","","Av/95","","","","","","","&nbsp;","Vg","Normal",".317",".299",  
"2B, SS","Sakata, Lenn R  ","$1,212,000","10211",".233",".296",".330","56.6","66.3","12.5","Av","11333",".676",".559","-2","","","Av/95","","Av/116","","","","&nbsp;","Av","Normal",".312",".274",  
"CF, LF","Brown, Eddie R  ","$1,209,000","8638",".264",".306",".368","65.7","93.9","18.3","Av","9321",".697",".649","-1","","","","","","Av/93","Fr/93","","Pr","Fr","Normal",".318",".294",  
"CF, LF, RF","Groth, Johnny R  ","$1,209,000","6364",".257",".311",".351","63.9","101.0","13.8","Av","6984",".655",".670","-1","","","","","","Av/66","Av/66","Av/66","Av","Fr","Prone",".304",".319",  
"C","Brand, Ron R  ","$1,207,000","13633",".250",".317",".307","56.8","206.6","11.7","Av","15185",".654",".560","-2","Fr/105","","","","","","","","&nbsp;","Fr","Normal",".328",".291",  
"C","May, Jerry R  ","$1,205,000","8244",".238",".305",".333","58.8","74.9","11.5","Pr","9152",".678",".559","-1","Av/95","","","","","","","","&nbsp;","Pr","Fragile",".319",".277",  
"SS","Jeltz, Steve S  ","$1,204,000","2764",".203",".289",".233","37.9","921.3","9.44","Av","3162",".525",".520","0","","","","","Av/82","","","","&nbsp;","Fr","Normal",".291",".288",  
"1B, 2B, 3B, LF, CF, RF","Engle, Clyde R  ","$1,202,000","7410",".234",".308",".330","60.2","67.4","10.6","Av","8363",".668",".597","-1","","Fr/107","Fr/118","Fr/164","","Av/91","Av/91","Av/91","Av","Vg","Normal",".320",".291",  
"3B, 2B, SS","High, Andy L  ","$1,200,000","10867",".229",".302",".326","59.0","64.3","10.8","Av","12261",".576",".642","0","","","Fr/109","Fr/83","Pr/110","","","","&nbsp;","Fr","Normal",".293",".305",  
"1B, C, RF","Fick, Robert L  ","$1,199,000","13346",".246",".308",".348","62.8","57.3","12.3","Av","14714",".584",".672","2","Pr/172","Av/172","","","","","","Av/221","Av","Pr","Prone",".283",".314",  
